Ohio State,27.1,1,43.8,2,16.7,8
Clemson,25,2,34.4,26,9.4,1
Alabama,24,3,39.4,10,15.4,6
Washington,23.5,4,37.3,15,13.8,4
Georgia,22.6,5,40.6,7,18,13
Auburn,22.1,6,36.7,18,14.6,5
Penn State,20.3,7,39.7,8,19.4,16
Oklahoma,19.6,8,50.3,1,30.7,83
Notre Dame,19.5,9,35.8,22,16.3,7
Michigan,19.2,10,31.2,45,11.9,2
Wisconsin,17.1,11,34.4,25,17.3,9
Miami (FL),17,12,34.9,23,17.9,12
Michigan State,16.2,13,29.7,54,13.5,3
Mississippi State,15.1,14,32.9,33,17.8,11
Louisiana State,14.2,15,31.6,40,17.4,10
Southern California,13,16,36.3,20,23.3,37
Oklahoma State,12.9,17,41.8,4,28.9,68
Central Florida,12.6,18,43.7,3,31.1,87
Florida State,12.3,19,34.1,30,21.8,21
Stanford,12.1,20,39,12,26.9,53
Oregon,11.3,21,36.8,16,25.5,45
Texas Christian,11.3,22,30.2,51,19,14
Texas A&M,10.8,23,33.8,31,22.9,31
Boise State,9.9,24,29.8,53,19.9,17
Utah,9.8,25,31.7,39,22,23
Louisville,9.2,26,41.3,5,32.1,97
Florida Atlantic,9.1,27,34.7,24,25.6,46
Mississippi,9,28,40.9,6,31.9,95
South Carolina,8.9,29,31.1,46,22.2,28
Texas,8.4,30,29.4,59,20.9,19
Missouri,8,31,38.6,13,30.6,82
Arizona,8,32,39.5,9,31.5,91
Florida,7.8,33,28.8,62,21,20
Virginia Tech,7.7,34,29.7,55,21.9,22
Iowa,7.2,35,27.6,80,20.4,18
North Carolina State,7.1,36,37.6,14,30.4,81
Northwestern,6.6,37,28.7,63,22.1,25
Duke,6.1,38,28.2,73,22.1,27
Memphis,6,39,39.1,11,33.1,104
Arkansas,5.2,40,34.3,28,29.2,71
Wake Forest,5.1,41,32.3,36,27.2,54
Fresno State,5,42,27,85,22,24
Toledo,4.9,43,33.6,32,28.6,65
Washington State,4.9,44,27,87,22.1,26
Iowa State,4.8,45,28.1,76,23.3,36
UCLA,4.7,46,36.8,17,32.1,96
Boston College,4.3,47,27.6,81,23.2,35
West Virginia,4.2,48,36.5,19,32.4,99
Indiana,3.9,49,27.8,79,23.8,38
Pittsburgh,3.4,50,28.1,75,24.8,41
Purdue,3.1,51,30.9,47,27.7,61
Arizona State,2.7,52,36.1,21,33.4,106
North Carolina,2.7,53,29.9,52,27.2,56
San Diego State,2.6,54,28.5,69,25.8,47
Texas Tech,2.5,55,29.3,60,26.8,52
Baylor,2.4,56,31.5,41,29.1,70
Marshall,2.3,57,24.7,96,22.4,29
South Florida,2.3,58,28.3,71,26.1,49
Appalachian State,2.3,59,27.3,82,25.1,42
Kansas State,2.1,60,32,37,29.9,78
Nebraska,2,61,30.8,48,28.8,66
Georgia Tech,1.8,62,31.9,38,30.2,80
Arkansas State,1.4,63,32.3,35,31,86
Kentucky,1.3,64,28.5,68,27.2,55
California,1.1,65,29.4,58,28.3,63
Northern Illinois,0.6,66,23.1,102,22.5,30
Ohio,0.5,67,31.4,43,30.9,85
Houston,0.3,68,25.8,90,25.5,44
Louisiana Tech,-0.2,69,28.7,64,28.9,69
