Alabama,35.4,1,51.2,2,15.8,10,SEC
Georgia,30.7,2,43.9,4,13.2,6,SEC
Clemson,29.9,3,45.2,3,15.2,8,ACC
Louisiana State,25.8,4,38.1,15,12.3,1,SEC
Oklahoma,25,5,51.5,1,26.5,56,BIG TWELVE
Florida,24.6,6,40.9,8,16.3,11,SEC
Ohio State,24.3,7,41.3,6,17,14,BIG TEN
Auburn,22.6,8,35.9,24,13.3,7,SEC
Michigan,21.6,9,38.2,14,16.6,13,BIG TEN
Mississippi State,21.4,10,33.8,32,12.4,2,SEC
Wisconsin,20.1,11,42.6,5,22.5,33,BIG TEN
Notre Dame,19.1,12,34.5,29,15.4,9,IND
Texas A&M,18.7,13,40.9,9,22.2,32,SEC
Penn State,18.4,14,31.4,51,13,4,BIG TEN
Washington,17.7,15,35.8,25,18.2,16,PAC TWELVE
Missouri,17.5,16,39,12,21.5,29,SEC
Utah,15.4,17,35.3,27,19.9,20,PAC TWELVE
South Carolina,14.9,18,38,16,23.1,36,SEC
Miami FL,13.9,19,30.3,60,16.4,12,ACC
Oregon,13.8,20,37.5,18,23.7,40,PAC TWELVE
Tennessee,12.9,21,38.7,13,25.7,49,SEC
Oklahoma State,12.8,22,41,7,28.2,69,BIG TWELVE
Michigan State,12.6,23,25.1,96,12.5,3,BIG TEN
Boise State,12.6,24,33,41,20.4,22,MWC
Iowa,12.5,25,31.8,48,19.3,18,BIG TEN
Memphis,12.3,26,40.5,10,28.3,70,AAC
Central Florida,11.7,27,37.7,17,26,51,AAC
Florida State,10.9,28,28.9,72,18,15,ACC
Southern California,10.7,29,35.8,26,25.1,45,PAC TWELVE
Virginia Tech,10.6,30,33.4,36,22.8,35,ACC
Appalachian State,10.4,31,32,46,21.5,30,SUN BELT
Stanford,10,32,33.4,37,23.4,39,PAC TWELVE
Minnesota,9.5,33,32.2,45,22.7,34,BIG TEN
Texas Christian,9.2,34,28.4,78,19.2,17,BIG TWELVE
Texas,8.9,35,36.2,23,27.3,67,BIG TWELVE
Washington State,8.9,36,37.3,20,28.4,71,PAC TWELVE
Kentucky,8.8,37,29.9,63,21.1,27,SEC
